"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"10/01/2021 10:00 - 10/01/2021 11:00","MBA|NO1","FCR","32.80","0.00","32.80",""
"10/01/2021 11:00 - 10/01/2021 12:00","MBA|NO1","FCR","38.80","0.00","38.80","6.79"
"10/01/2021 12:00 - 10/01/2021 13:00","MBA|NO1","FCR","38.70","0.00","38.70","18.38"
"10/01/2021 13:00 - 10/01/2021 14:00","MBA|NO1","FCR","37.80","1.89","37.80",""
"10/01/2021 14:00 - 10/01/2021 15:00","MBA|NO1","FCR","37.80","6.62","37.80",""
"10/01/2021 15:00 - 10/01/2021 16:00","MBA|NO1","FCR","30.80","0.00","30.80","2.31"
"10/01/2021 16:00 - 10/01/2021 17:00","MBA|NO1","FCR","22.60","3.96","22.60",""
"10/01/2021 17:00 - 10/01/2021 18:00","MBA|NO1","FCR","23.50","1.18","23.50",""
"10/01/2021 18:00 - 10/01/2021 19:00","MBA|NO1","FCR","21.80","0.55","21.80",""
"10/01/2021 19:00 - 10/01/2021 20:00","MBA|NO1","FCR","37.80","2.84","37.80",""
"10/01/2021 20:00 - 10/01/2021 21:00","MBA|NO1","FCR","37.80","2.84","37.80",""
"10/01/2021 21:00 - 10/01/2021 22:00","MBA|NO1","FCR","31.80","15.90","31.80",""
"10/01/2021 22:00 - 10/01/2021 23:00","MBA|NO1","FCR","30.50","3.05","30.50",""
"10/01/2021 23:00 - 11/01/2021 00:00","MBA|NO1","FCR","32.80","0.00","32.80",""
"11/01/2021 00:00 - 11/01/2021 01:00","MBA|NO1","FCR","36.20","0.00","36.20","7.24"
"11/01/2021 01:00 - 11/01/2021 02:00","MBA|NO1","FCR","36.20","9.05","36.20",""
"11/01/2021 02:00 - 11/01/2021 03:00","MBA|NO1","FCR","36.10","0.00","36.10",""
"11/01/2021 03:00 - 11/01/2021 04:00","MBA|NO1","FCR","37.20","0.00","37.20","6.51"
"11/01/2021 04:00 - 11/01/2021 05:00","MBA|NO1","FCR","37.20","0.00","37.20","20.46"
"11/01/2021 05:00 - 11/01/2021 06:00","MBA|NO1","FCR","30.10","0.00","30.10","4.52"
"11/01/2021 06:00 - 11/01/2021 07:00","MBA|NO1","FCR","30.30","0.00","30.30","0.76"
"11/01/2021 07:00 - 11/01/2021 08:00","MBA|NO1","FCR","30.50","3.81","30.50",""
"11/01/2021 08:00 - 11/01/2021 09:00","MBA|NO1","FCR","29.80","0.00","29.80","8.94"
